energy level,average power,variation of power,target level,infer level,judge
29.5427,35.552,4.394597546,0,0,true
25.9233,32.58588,4.972743488,0,0,true
22.1026,29.39436,5.654968871,0,0,true
18.6074,25.8194,5.703815103,0,0,true
14.7312,22.18144,5.841141129,0,0,true
11.3237,18.53764,5.783418014,0,0,true
8.34961,15.022902,5.506195631,0,0,true
5.62931,11.728244,5.126313283,0,0,true
3.59906,8.726576,4.439232558,0,0,true
1.90486,6.161308,3.755144573,0,0,true
0.60129,4.016826,3.068954905,0,0,true
0.0291357,2.35273114,2.288915412,0,0,true
0.119896,1.25084834,1.511240406,0,0,true
0.984959,0.72802814,0.762444193,0,0,true
2.02794,0.75264414,0.810415398,0,0,true
3.77699,1.38778414,1.559954982,0,0,true
6.49325,2.680607,2.52966102,0,0,true
9.12793,4.4822138,3.330860896,0,0,true
12.8314,6.851502,4.295026875,0,0,true
15.4319,9.532294,4.696069478,0,0,true
19.0092,12.578736,4.962268964,0,0,true
22.9591,15.871906,5.361679465,0,0,true
25.5029,19.1469,5.21146168,0,0,true
29.5692,22.49446,5.507843014,0,0,true
31.9765,25.80338,5.163087972,0,0,true
34.4494,28.89142,4.678213719,0,0,true
35.9832,31.49624,4.144822711,0,0,true
38.634,34.12246,3.509293278,0,0,true
39.7022,36.14906,3.127552608,0,0,true
38.634,37.48056,2.18097168,0,0,true
41.3476,38.8602,1.954199621,0,0,true
39.151,39.49376,1.126502209,0,0,true
38.634,39.49376,1.126502209,0,0,true
37.5504,39.0634,1.403850163,0,0,true
34.4494,38.22648,2.524164086,0,0,true
31.9765,36.35226,3.051351104,0,0,true
29.5692,34.4359,3.776829138,0,0,true
26.8249,32.07408,4.167435128,0,0,true
22.5404,29.07208,4.618198128,0,0,true
18.6284,25.90788,5.371338035,0,0,true
15.4319,22.59896,5.778804798,0,0,true
12.5361,19.19234,5.66193311,0,0,true
8.86464,15.600288,5.294364302,0,0,true
6.49325,12.390858,4.883440268,0,0,true
3.93984,9.453146,4.603096008,0,0,true
2.02794,6.772354,4.129434812,0,0,true
0.745137,4.4141614,3.298110921,0,0,true
0.0680765,2.6548487,2.603647964,0,0,true
0.089958,1.3741903,1.640186039,0,0,true
0.60129,0.7064803,0.797883801,0,0,true
2.021,0.7050923,0.795011149,0,0,true
3.76752,1.3095689,1.587298881,0,0,true
5.82774,2.4615016,2.36198502,0,0,true
8.34961,4.113432,3.070713442,0,0,true
11.9054,6.374254,3.890378114,0,0,true
15.0701,8.984074,4.559366255,0,0,true
17.8784,11.80625,4.879151952,0,0,true
20.9041,14.821522,4.919183411,0,0,true
23.7605,17.9037,4.672099056,0,0,true
26.7997,20.88256,4.63964484,0,0,true
30.5047,23.96948,4.9310427,0,0,true
32.921,26.978,4.874249179,0,0,true
35.4295,29.88308,4.67363248,0,0,true
35.9539,32.32176,3.775063945,0,0,true
37.0144,34.3647,2.62983533,0,0,true
38.6037,35.9845,2.098505198,0,0,true
37.5205,36.9044,1.260761671,0,0,true
37.0144,37.22138,0.960789825,0,0,true
35.9539,37.22138,0.960789825,0,0,true
34.9377,36.80604,1.41441555,0,0,true
32.4193,35.56916,2.022673421,0,0,true
30.0217,34.0694,2.83218182,0,0,true
27.6906,32.20464,3.417397789,0,0,true
25.0371,30.02128,3.879297786,0,0,true
22.1026,27.45426,4.055309919,0,0,true
20.5268,25.07576,3.899805212,0,0,true
15.74,22.21942,4.547928762,0,0,true
12.5189,19.18508,5.021573598,0,0,true
9.1132,16.0003,5.416348309,0,0,true
